IATA Code,Airport Name
VIE,Vienna International Airport
BRU,Brussels Airport
CDG,Paris-Charles de Gaulle Airport
ORY,Paris Orly Airport
NCE,Nice Cote d'Azur Airport
FRA,Frankfurt Airport
MUC,Munich Airport
BER,Berlin Brandenburg Airport
FCO,Rome Fiumicino Airport
MXP,Milan Malpensa Airport
AMS,Amsterdam Airport Schiphol
SVO,Sheremetyevo International Airport
LED,Pulkovo Airport
MAD,Adolfo Suarez Madrid Barajas Airport
BCN,Josep Tarradellas Barcelona El Prat Airport
ZRH,Zurich Airport
GVA,Geneva Airport
LHR,London Heathrow Airport
LGW,London Gatwick Airport
MAN,Manchester Airport
